"emp_no","first_name","last_name","title","from_date","to_date"
11240,"Kiam","Condotta","Engineer","1997-01-06","9999-01-01"
11251,"Bezalel","Chinal","Senior Staff","1993-06-15","9999-01-01"
11275,"Hitomi","Eppinger","Senior Engineer","1998-04-25","9999-01-01"
11319,"Pranas","Marrakchi","Assistant Engineer","1998-11-01","9999-01-01"
11449,"Kotesh","Asser","Senior Engineer","2000-02-03","9999-01-01"
11506,"Rance","Picel","Staff","1996-04-08","9999-01-01"
11515,"Ulf","Basawa","Staff","1998-09-21","9999-01-01"
11524,"Xiadong","Standera","Senior Engineer","1996-07-05","9999-01-01"
11528,"Zito","Dolinsky","Technique Leader","1987-06-15","9999-01-01"
11537,"DAIDA","Pehl","Senior Staff","1986-07-06","9999-01-01"
11554,"Subhash","Taubenfeld","Staff","1998-07-15","9999-01-01"
11555,"Kotesh","Perfilyeva","Senior Staff","1991-10-14","9999-01-01"
11568,"Martins","Fujisaki","Senior Engineer","2000-03-13","9999-01-01"
11615,"Shem","Isaak","Senior Staff","2000-08-28","9999-01-01"
11624,"Adil","Gammage","Senior Engineer","1996-07-15","9999-01-01"
11660,"Gill","Stenning","Senior Staff","1994-11-22","9999-01-01"
11732,"Sanjoy","Ranft","Senior Engineer","1996-12-22","9999-01-01"
11735,"Amalendu","Picci","Senior Staff","1997-07-14","9999-01-01"
11817,"Niranjan","Markovitch","Senior Staff","1993-04-12","9999-01-01"
11857,"Divier","Farrag","Senior Staff","1986-08-27","9999-01-01"
11906,"Hideo","Boguraev","Engineer","1999-02-07","9999-01-01"
11993,"Marit","Dalphin","Senior Staff","1996-10-22","9999-01-01"
12070,"Ger","Shokrollahi","Technique Leader","1988-11-14","9999-01-01"
12076,"Karlis","Siprelle","Senior Staff","1985-03-25","9999-01-01"
12159,"Shem","Perly","Senior Engineer","1985-07-17","9999-01-01"
12205,"Sushant","Rossi","Senior Engineer","1987-11-11","9999-01-01"
12221,"Vincent","Melter","Senior Engineer","1991-09-16","9999-01-01"
12256,"Guadalupe","Reghbati","Senior Staff","1992-08-26","9999-01-01"
12272,"Behnaam","Grandbois","Senior Staff","1992-12-07","9999-01-01"
12311,"Susanne","Lubachevsky","Senior Engineer","1985-10-22","9999-01-01"
12341,"Rasiah","Luga","Senior Engineer","1990-05-25","9999-01-01"
12395,"Sanjit","Felder","Senior Staff","1995-06-05","9999-01-01"
12399,"Mihalis","Luga","Senior Staff","1996-12-06","9999-01-01"
12413,"Hugh","Gadepally","Senior Engineer","1999-03-04","9999-01-01"
12417,"Dannz","Spelt","Senior Engineer","1998-02-02","9999-01-01"
12464,"Shai","Milicic","Staff","1998-06-01","9999-01-01"
12489,"Arnould","Munck","Senior Engineer","1986-04-11","9999-01-01"
12490,"Jackson","Muchinsky","Senior Engineer","2000-05-08","9999-01-01"
12596,"Breannda","Roisin","Senior Staff","1996-09-29","9999-01-01"
12601,"Ghassan","Simkin","Senior Engineer","2002-07-09","9999-01-01"
12608,"Nectarios","Mondadori","Senior Staff","2000-02-22","9999-01-01"
12642,"Suebskul","Gips","Senior Staff","2001-10-28","9999-01-01"
12697,"Uri","Brizzi","Senior Staff","1994-07-11","9999-01-01"
12709,"Ronghao","Botman","Senior Engineer","2001-02-25","9999-01-01"
12722,"Elliott","Cheshire","Senior Staff","1985-03-29","9999-01-01"
12755,"Rildo","Rodite","Senior Staff","1994-03-18","9999-01-01"
12815,"Sushant","Junot","Senior Staff","1993-02-27","9999-01-01"
12879,"Baruch","Eugenio","Senior Engineer","1995-06-11","9999-01-01"
12890,"Neven","Casley","Senior Staff","1985-10-31","9999-01-01"
12905,"Munehiro","Gecsei","Senior Engineer","1993-07-18","9999-01-01"
12949,"Geoff","Asrin","Senior Engineer","1992-02-12","9999-01-01"
13030,"Yahiko","Kroll","Senior Staff","1999-11-25","9999-01-01"
13075,"Rosella","Morrin","Senior Staff","1991-08-17","9999-01-01"
13124,"Quingbo","Garnick","Senior Staff","1985-03-17","9999-01-01"
13133,"Guther","Senzako","Senior Staff","1991-09-03","9999-01-01"
13134,"Lorien","Chepyzhov","Senior Engineer","1993-10-22","9999-01-01"
13147,"Shichao","Ginesta","Senior Staff","1998-06-29","9999-01-01"
13170,"Cheong","Bernardeschi","Senior Staff","1998-01-09","9999-01-01"
13179,"Moty","Janocha","Staff","1999-02-19","9999-01-01"
13186,"Kyoichi","Barbanera","Senior Staff","1995-04-29","9999-01-01"
13232,"Mitchel","Fujisaki","Technique Leader","1986-06-02","9999-01-01"
13240,"King","Pileggi","Senior Engineer","2001-03-10","9999-01-01"
13276,"Yechiam","Seuren","Senior Staff","1991-03-09","9999-01-01"
13315,"Sakthirel","Stroustrup","Senior Engineer","1999-06-02","9999-01-01"
13402,"Augustine","Dulli","Engineer","1999-09-12","9999-01-01"
13415,"Nathalie","Speer","Technique Leader","1991-04-25","9999-01-01"
13457,"Shooichi","Parfitt","Senior Engineer","1991-01-18","9999-01-01"
13524,"Chaoyi","Porotnikoff","Senior Staff","2000-10-27","9999-01-01"
13546,"Aimee","Brookner","Senior Engineer","1997-10-26","9999-01-01"
13552,"Ingmar","Capobianchi","Senior Staff","1993-03-23","9999-01-01"
13653,"Kristen","Iivonen","Senior Staff","2000-01-17","9999-01-01"
13704,"Vishu","Kumaresan","Senior Engineer","1995-10-01","9999-01-01"
13769,"Yakichi","Trogemann","Senior Staff","1988-10-18","9999-01-01"
13775,"Arve","Maierhofer","Senior Staff","1994-10-21","9999-01-01"
13825,"Arlette","Pell","Technique Leader","1986-08-02","9999-01-01"
13962,"Maris","Ghelli","Senior Engineer","1994-10-26","9999-01-01"
13992,"Ulises","Kenevan","Senior Staff","1994-07-27","9999-01-01"
14005,"Vojin","Stellhorn","Technique Leader","1985-05-10","9999-01-01"
14067,"Godehard","Trachtenberg","Senior Engineer","2000-02-14","9999-01-01"
14111,"Leszek","Cummings","Senior Staff","1999-09-26","9999-01-01"
14209,"Masanao","Kusakabe","Senior Staff","1988-04-06","9999-01-01"
14242,"Sudhanshu","Benaini","Senior Staff","1992-06-27","9999-01-01"
14290,"Miyeon","Olivero","Senior Engineer","1992-03-29","9999-01-01"
14340,"Vitaly","Wixon","Senior Engineer","1995-12-19","9999-01-01"
14344,"Otilia","Buescher","Technique Leader","1988-12-16","9999-01-01"
14360,"Janche","Erbe","Senior Staff","1997-08-01","9999-01-01"
14460,"Yagil","Lueh","Senior Engineer","1995-01-23","9999-01-01"
14516,"Kristian","Underwood","Senior Staff","1989-04-08","9999-01-01"
14518,"Patricia","Peir","Engineer","1996-02-18","9999-01-01"
14522,"Chuanyi","Ranta","Senior Staff","1990-01-14","9999-01-01"
14581,"Gao","Condotta","Senior Engineer","1996-06-28","9999-01-01"
14632,"Gudjon","McClurg","Senior Engineer","2001-08-01","9999-01-01"
14642,"Florian","Kuhnemann","Senior Engineer","1996-06-04","9999-01-01"
14645,"Laurentiu","Glinert","Senior Engineer","1995-05-01","9999-01-01"
14648,"IEEE","Lorys","Senior Staff","1994-11-16","9999-01-01"
14675,"Teunis","Angel","Senior Staff","1988-09-25","9999-01-01"
14677,"Herbert","Sifakis","Senior Engineer","1987-02-12","9999-01-01"
14683,"Alois","Basart","Senior Engineer","1994-12-02","9999-01-01"
14724,"Aron","Lemarechal","Senior Staff","1993-09-10","9999-01-01"
14785,"Zhonghua","Kaiser","Senior Engineer","1988-06-23","9999-01-01"
14814,"Odysseas","Nishimukai","Senior Staff","1996-10-26","9999-01-01"
14817,"Gaurav","Masaki","Senior Engineer","1997-12-02","9999-01-01"
14877,"Arto","Meriste","Senior Engineer","1996-06-06","9999-01-01"
14928,"Satoru","Mukaidono","Senior Staff","1985-05-17","9999-01-01"
14942,"Heon","Benveniste","Senior Engineer","1992-11-14","9999-01-01"
14954,"Fox","Magliocco","Senior Engineer","1988-08-05","9999-01-01"
14971,"Fan","Simmen","Senior Staff","1991-03-25","9999-01-01"
14983,"Hyuckchul","Pouyioutas","Senior Staff","1996-12-26","9999-01-01"
14993,"Sanjay","Koblitz","Senior Engineer","1994-04-20","9999-01-01"
15052,"Flemming","Kranzdorf","Senior Engineer","1993-01-27","9999-01-01"
15092,"Remmert","Bahi","Senior Staff","1986-05-26","9999-01-01"
15114,"Pantung","Honglei","Engineer","1998-03-09","9999-01-01"
15193,"Neelam","Schach","Senior Engineer","1989-02-14","9999-01-01"
15196,"Souichi","Duclos","Senior Engineer","2001-07-09","9999-01-01"
15218,"Shuky","Conry","Senior Staff","2001-08-10","9999-01-01"
15234,"Jouko","Zhiwei","Senior Engineer","1987-09-03","9999-01-01"
15269,"Eric","Reghbati","Senior Engineer","1993-08-21","9999-01-01"
15330,"Jaroslava","Chinal","Senior Staff","1995-05-31","9999-01-01"
15343,"Chaosheng","Luce","Senior Engineer","1992-03-12","9999-01-01"
15370,"Chuanyi","Nilsson","Senior Engineer","1993-12-21","9999-01-01"
15392,"Pradeep","Markovitch","Assistant Engineer","1994-07-04","9999-01-01"
15408,"Maik","Penttonen","Staff","1996-11-23","9999-01-01"
15479,"Zhenbing","Soicher","Senior Engineer","1994-01-25","9999-01-01"
15480,"Kwok","Trogemann","Senior Engineer","1999-04-29","9999-01-01"
15511,"George","Kowalchuk","Senior Staff","1986-04-20","9999-01-01"
15566,"Baoqiu","Azuma","Senior Staff","1988-04-11","9999-01-01"
15651,"Huan","Iwayama","Senior Engineer","2001-11-22","9999-01-01"
15687,"Dekang","Ambroszkiewicz","Senior Staff","1996-02-13","9999-01-01"
15703,"Chenye","Hanratty","Engineer","1994-12-06","9999-01-01"
15708,"Reuven","Kushnir","Senior Staff","1995-01-22","9999-01-01"
15715,"Insup","Ibel","Staff","1999-09-21","9999-01-01"
15765,"Tonny","Taubenfeld","Senior Engineer","1998-02-15","9999-01-01"
15809,"Mingsen","Antonisse","Senior Staff","1994-06-07","9999-01-01"
15819,"Magdalena","Rajcani","Senior Staff","1999-08-16","9999-01-01"
15877,"Yannik","Kroll","Engineer","1999-08-10","9999-01-01"
15880,"Miquel","Dechter","Technique Leader","1996-12-02","9999-01-01"
15889,"Sasan","Azumi","Senior Engineer","1995-02-03","9999-01-01"
15892,"Lunjin","Pettis","Senior Engineer","1991-09-20","9999-01-01"
15934,"Kensyu","Shinomoto","Assistant Engineer","1995-08-20","9999-01-01"
15942,"Murthy","Rosca","Senior Engineer","1991-09-09","9999-01-01"
15948,"Karoline","Versino","Senior Engineer","1991-01-14","9999-01-01"
15977,"King","Ballarin","Senior Staff","2000-11-02","9999-01-01"
16019,"Chaoyi","Heystek","Senior Engineer","1990-08-01","9999-01-01"
16126,"Tse","Crabtree","Staff","1997-10-10","9999-01-01"
16130,"Kerryn","Belinskaya","Engineer","2002-07-26","9999-01-01"
16229,"Ronnie","Lanzelotte","Senior Staff","1996-09-17","9999-01-01"
16230,"Ung","Babu","Senior Staff","1996-02-19","9999-01-01"
16233,"Sushant","Baba","Senior Staff","1987-03-24","9999-01-01"
16324,"Billie","Bazzichi","Staff","1998-05-04","9999-01-01"
16341,"Boutros","Fendler","Senior Staff","1999-12-08","9999-01-01"
16380,"Zhilian","Chleq","Senior Staff","1994-06-01","9999-01-01"
16382,"Chaoyi","Talmon","Senior Engineer","1987-05-05","9999-01-01"
16398,"Limsoon","Krzyzanowski","Senior Staff","1993-07-31","9999-01-01"
16404,"Rafols","Rabehasaina","Senior Engineer","1993-07-18","9999-01-01"
16425,"Idoia","Beerel","Senior Engineer","1989-12-15","9999-01-01"
16446,"Jouko","Chinin","Senior Staff","1992-07-05","9999-01-01"
16471,"Bogdan","Birta","Staff","1999-08-03","9999-01-01"
16479,"Jixiang","Eiter","Senior Staff","1992-04-13","9999-01-01"
16486,"Sanjay","Perin","Senior Staff","1992-03-17","9999-01-01"
16487,"Arunas","Yemenis","Senior Staff","2001-10-18","9999-01-01"
16490,"Muzhong","Thiria","Senior Staff","1987-04-06","9999-01-01"
16504,"Mong","Cromarty","Senior Engineer","1992-05-06","9999-01-01"
16607,"Vishwani","Honglei","Senior Staff","1993-09-17","9999-01-01"
16657,"Yongdong","Heyers","Senior Engineer","1992-07-11","9999-01-01"
16672,"Georgi","Peris","Senior Staff","1993-03-13","9999-01-01"
16674,"Duke","Takanami","Technique Leader","1988-08-30","9999-01-01"
16679,"Domenick","Cummings","Engineer","1994-07-17","9999-01-01"
16683,"Hatem","Ghandeharizadeh","Senior Engineer","1986-11-19","9999-01-01"
16723,"Mohd","Randt","Senior Staff","1993-12-24","9999-01-01"
16808,"Kiyokazu","Katiyar","Senior Staff","1995-11-10","9999-01-01"
16862,"JiYoung","Eppinger","Senior Engineer","1992-04-26","9999-01-01"
16875,"Nikolaos","Radhakrishnan","Engineer","1997-10-26","9999-01-01"
16955,"Sangeeta","Marrakchi","Senior Staff","2001-03-14","9999-01-01"
16969,"Sanjit","Braccini","Senior Engineer","1997-10-26","9999-01-01"
17018,"Berhard","Tasistro","Senior Engineer","1993-02-20","9999-01-01"
17055,"Marin","Wixon","Senior Engineer","1988-08-06","9999-01-01"
17098,"Xuedong","Gelosh","Senior Engineer","1998-08-26","9999-01-01"
17101,"Sandeepan","Compeau","Senior Engineer","1995-01-18","9999-01-01"
17143,"Ziyad","Munke","Senior Engineer","1985-09-10","9999-01-01"
17146,"Aemilian","Barbanera","Staff","1996-07-01","9999-01-01"
17163,"Yurii","Papsdorf","Senior Engineer","1988-03-12","9999-01-01"
17220,"Lorien","Panwar","Senior Engineer","2000-01-04","9999-01-01"
17277,"Arnd","Hopewell","Senior Engineer","1987-08-25","9999-01-01"
17294,"Shrikanth","Pietrzykowski","Senior Engineer","1994-08-17","9999-01-01"
17336,"Shigenori","Chaudhuri","Senior Engineer","1993-02-24","9999-01-01"
17387,"Shir","Serra","Staff","1997-12-31","9999-01-01"
17397,"Kenroku","Hardjono","Senior Engineer","1986-09-15","9999-01-01"
17505,"Gunilla","Moffat","Senior Engineer","1994-02-21","9999-01-01"
17539,"Cathie","Uhrik","Senior Engineer","1999-12-27","9999-01-01"
17584,"Emdad","Coorg","Senior Staff","1994-03-15","9999-01-01"
17704,"Vatsa","Broomell","Senior Staff","2001-11-20","9999-01-01"
17869,"Xiaocheng","Prochazka","Assistant Engineer","1995-07-01","9999-01-01"
17891,"Isaac","Luiz","Senior Engineer","1992-05-06","9999-01-01"
17925,"Adamantios","Baezner","Senior Engineer","1996-03-08","9999-01-01"
17986,"Oguz","Angelopoulos","Staff","1994-08-27","9999-01-01"
18130,"Claudi","Cairo","Senior Staff","2000-05-26","9999-01-01"
18251,"Alair","Panangaden","Senior Staff","1986-10-08","9999-01-01"
18261,"Shridhar","Baak","Senior Engineer","1986-06-06","9999-01-01"
18274,"Yefim","Karnin","Senior Staff","1994-06-13","9999-01-01"
18310,"Ioana","Dalton","Senior Engineer","1996-08-06","9999-01-01"
18322,"Tonia","Lueh","Engineer","1997-10-04","9999-01-01"
18375,"Gian","Debuse","Senior Staff","2001-04-28","9999-01-01"
18382,"Remko","Mattern","Senior Engineer","2002-01-30","9999-01-01"
18448,"Rosine","Bazelow","Senior Engineer","1999-05-02","9999-01-01"
18454,"Eric","Anido","Senior Staff","1996-07-18","9999-01-01"
18459,"Shuzo","Kavanagh","Senior Staff","1997-04-01","9999-01-01"
18478,"Mitsuyuki","Stranks","Senior Engineer","1998-05-01","9999-01-01"
18511,"Pascal","Marzano","Senior Engineer","2000-11-16","9999-01-01"
18547,"Gladys","Sankaranarayanan","Senior Engineer","1994-06-03","9999-01-01"
18580,"Mabo","Bamford","Assistant Engineer","1997-09-18","9999-01-01"
18663,"Rafols","Sridhar","Senior Engineer","1992-06-19","9999-01-01"
18664,"Itzchak","Akaboshi","Senior Staff","1997-12-31","9999-01-01"
18671,"Shan","Nastansky","Senior Engineer","1986-05-04","9999-01-01"
18673,"Ohad","Orlowski","Engineer","1996-04-24","9999-01-01"
18706,"Debaprosad","Schicker","Senior Staff","1996-08-16","9999-01-01"
18725,"Cullen","Marchegay","Senior Staff","1998-08-04","9999-01-01"
18770,"Fei","Yurek","Senior Engineer","1995-11-27","9999-01-01"
18786,"Guozhong","Veevers","Senior Engineer","1988-05-24","9999-01-01"
18806,"Akhilish","Petereit","Senior Staff","1991-05-29","9999-01-01"
18833,"Roded","Majewski","Senior Engineer","1995-03-05","9999-01-01"
18835,"Uwe","Lieblein","Senior Engineer","1995-07-28","9999-01-01"
18933,"Barun","Panienski","Senior Engineer","2002-05-04","9999-01-01"
18980,"Weiye","Kawashimo","Senior Engineer","1999-01-07","9999-01-01"
18994,"Leszek","Mitsuhashi","Senior Staff","1991-09-03","9999-01-01"
19027,"Ferdinand","Nanard","Senior Engineer","1994-05-11","9999-01-01"
19089,"Badri","Ellozy","Senior Engineer","1999-04-08","9999-01-01"
19109,"Jenwei","Denis","Senior Staff","1993-12-05","9999-01-01"
19147,"Chaitali","Bennis","Senior Staff","1994-10-18","9999-01-01"
19154,"Inderjeet","Denna","Senior Staff","1994-03-17","9999-01-01"
19160,"Tetsurou","Jervis","Senior Staff","1986-07-25","9999-01-01"
19162,"Chinho","Fadgyas","Technique Leader","1996-01-24","9999-01-01"
19209,"Berhard","Encarnacion","Staff","1997-04-26","9999-01-01"
19244,"Guenter","Vitiello","Staff","1998-09-09","9999-01-01"
19259,"Anoosh","Pelc","Senior Engineer","1994-11-17","9999-01-01"
19268,"Adit","Papastamatiou","Senior Engineer","1986-05-10","9999-01-01"
19329,"Alair","Marletta","Senior Engineer","1994-02-04","9999-01-01"
19335,"Susanta","Khalid","Senior Staff","1990-10-06","9999-01-01"
19397,"Arnd","Diderrich","Senior Staff","1995-12-01","9999-01-01"
19422,"Florian","Budinsky","Senior Engineer","2002-04-18","9999-01-01"
19425,"Xuejia","Pettey","Senior Engineer","1994-06-12","9999-01-01"
19453,"Baoqiu","Buescher","Senior Staff","1999-04-16","9999-01-01"
19454,"Taisook","Hutter","Senior Staff","1985-02-26","9999-01-01"
19488,"Maris","Perly","Senior Engineer","1993-06-16","9999-01-01"
19493,"Caolyn","Tramer","Senior Engineer","2002-04-16","9999-01-01"
19565,"Zito","Riesenhuber","Assistant Engineer","1997-10-07","9999-01-01"
19583,"Edwin","Veccia","Senior Staff","1993-05-30","9999-01-01"
19602,"Sandeepan","Olivero","Senior Engineer","1988-07-22","9999-01-01"
19637,"Dipayan","Papastamatiou","Senior Engineer","1991-05-26","9999-01-01"
19644,"Jackson","Isaac","Senior Engineer","1986-05-06","9999-01-01"
19667,"Munenori","Matzel","Senior Staff","1993-06-13","9999-01-01"
19678,"Xiping","Plotkin","Senior Engineer","1995-06-10","9999-01-01"
19720,"Kwangyoen","Maksimenko","Senior Engineer","1995-01-13","9999-01-01"
19723,"Xuejun","Magalhaes","Senior Staff","1994-04-22","9999-01-01"
19737,"Harngdar","Cools","Engineer","1997-02-14","9999-01-01"
19738,"Giri","Sury","Senior Staff","1997-12-21","9999-01-01"
19766,"Saeed","Munke","Senior Staff","1994-10-22","9999-01-01"
19777,"Halsur","Ferretti","Senior Staff","1997-03-14","9999-01-01"
19804,"Tamiya","Benzmuller","Staff","1998-03-06","9999-01-01"
20042,"Margareta","Munck","Senior Staff","1987-03-23","9999-01-01"
20063,"Guttorm","Carrere","Senior Staff","1997-03-09","9999-01-01"
20065,"Mana","Onuegbe","Staff","1997-12-03","9999-01-01"
20068,"Masali","Rouquie","Senior Engineer","1990-04-11","9999-01-01"
20159,"Isamu","Valiente","Technique Leader","1996-07-04","9999-01-01"
20189,"Mark","Nanard","Senior Engineer","1991-08-28","9999-01-01"
20245,"Halsur","Fujisawa","Senior Engineer","1990-07-31","9999-01-01"
20251,"Cristinel","Unno","Engineer","1998-04-17","9999-01-01"
20259,"Yannik","Bratten","Senior Engineer","1988-10-18","9999-01-01"
20265,"Amalendu","Willoner","Senior Engineer","1993-09-04","9999-01-01"
20284,"Monique","Parascandalo","Senior Engineer","1987-03-01","9999-01-01"
20346,"Jeong","Antonakopoulos","Senior Engineer","1987-08-13","9999-01-01"
20367,"Bernt","Takanami","Senior Engineer","1997-07-06","9999-01-01"
20454,"Nidapan","Gunderson","Senior Engineer","1994-11-26","9999-01-01"
20625,"Uno","Cusworth","Engineer","1997-10-22","9999-01-01"
20708,"Aemilian","Arlazarov","Senior Staff","1998-03-23","9999-01-01"
20755,"Jungsoon","Szilard","Senior Engineer","1996-09-04","9999-01-01"
20757,"Ingemar","Taubman","Senior Engineer","1991-03-06","9999-01-01"
20836,"Jingling","Alameldin","Senior Staff","1986-12-20","9999-01-01"
20857,"Jinxi","Werthner","Senior Staff","1987-05-24","9999-01-01"
20860,"Szabolcs","Michaels","Senior Engineer","1992-07-19","9999-01-01"
20929,"Along","Hebden","Senior Engineer","1985-04-02","9999-01-01"
20964,"Clyde","Erez","Staff","1998-08-23","9999-01-01"
20974,"Hisao","Yavatkar","Senior Staff","1992-05-20","9999-01-01"
20979,"Pradeep","Kumaresan","Senior Staff","1994-09-30","9999-01-01"
21019,"Oksana","Brodie","Staff","1997-08-19","9999-01-01"
21054,"Saeko","Sichman","Senior Engineer","1995-08-15","9999-01-01"
21078,"Shaw","Bolotov","Engineer","1997-04-09","9999-01-01"
21092,"Chikara","Montresor","Senior Engineer","1991-01-14","9999-01-01"
21127,"Ziyad","Coorg","Senior Engineer","1988-02-24","9999-01-01"
21165,"Mingdong","Pfau","Senior Engineer","1992-04-19","9999-01-01"
21214,"Weiru","Angelov","Engineer","1998-06-10","9999-01-01"
21255,"Jaewon","Baba","Staff","1998-03-12","9999-01-01"
21373,"Gonzalo","Awdeh","Engineer","1998-08-08","9999-01-01"
21391,"Zijian","Pagter","Senior Engineer","1992-03-14","9999-01-01"
21421,"Avishai","Yoshizawa","Senior Staff","2001-05-25","9999-01-01"
21527,"DeForest","Yurov","Senior Engineer","1998-01-29","9999-01-01"
21566,"Angel","Demos","Senior Staff","1988-11-06","9999-01-01"
21588,"Licheng","Masamoto","Staff","1998-12-08","9999-01-01"
21612,"Martial","Bardell","Senior Staff","1997-12-25","9999-01-01"
21646,"Gila","Guardalben","Senior Engineer","2002-03-14","9999-01-01"
21648,"Mayuko","Fandrianto","Senior Staff","1999-07-06","9999-01-01"
21663,"Eberhardt","Serra","Technique Leader","1988-08-24","9999-01-01"
21666,"Remzi","Kroon","Engineer","1999-04-14","9999-01-01"
21686,"Kinh","Jansch","Engineer","1997-10-25","9999-01-01"
21693,"Palash","Schurmann","Senior Staff","1996-12-30","9999-01-01"
21751,"Uinam","Savasere","Technique Leader","1993-08-26","9999-01-01"
21783,"Domenick","Qiwen","Senior Engineer","1985-07-12","9999-01-01"
21848,"Atreyi","Zhang","Senior Engineer","1991-05-17","9999-01-01"
21851,"Falguni","Budinsky","Senior Staff","1993-05-09","9999-01-01"
22008,"Karlis","Ferretti","Senior Staff","1993-02-16","9999-01-01"
22100,"Vishwani","Spataro","Senior Staff","1987-08-06","9999-01-01"
22255,"Kristian","Merel","Senior Engineer","1991-09-12","9999-01-01"
22326,"Mani","Skafidas","Senior Staff","1986-12-09","9999-01-01"
22337,"Leszek","Picci","Senior Staff","1990-03-30","9999-01-01"
22367,"Terresa","Barinka","Senior Engineer","2000-12-06","9999-01-01"
22370,"Aloys","Oxenboll","Staff","1997-09-19","9999-01-01"
22381,"Uma","Openshaw","Senior Staff","1988-10-07","9999-01-01"
22405,"Gritta","Parveen","Senior Staff","1996-06-28","9999-01-01"
22424,"Krister","Engelmann","Engineer","2001-02-07","9999-01-01"
22437,"Xiaoqiu","Orsini","Senior Engineer","2001-10-10","9999-01-01"
22482,"Perla","Parascandalo","Senior Engineer","1994-09-27","9999-01-01"
22496,"Yongqiao","Yavatkar","Senior Engineer","1998-02-11","9999-01-01"
22509,"Zejun","Shumilov","Engineer","1998-08-18","9999-01-01"
22593,"Danae","Jeansoulin","Senior Staff","1994-11-17","9999-01-01"
22609,"Zvonko","Baalen","Staff","1995-10-02","9999-01-01"
22728,"Makato","Codenie","Senior Staff","1992-11-20","9999-01-01"
22730,"Premal","Basart","Senior Staff","1997-11-12","9999-01-01"
22735,"Paddy","Diderrich","Senior Engineer","1995-10-22","9999-01-01"
22749,"Snehasis","Famili","Senior Engineer","1996-09-02","9999-01-01"
22753,"Yoshinari","Khalil","Senior Engineer","1987-03-17","9999-01-01"
22758,"Mabry","Rijckaert","Senior Staff","1995-06-15","9999-01-01"
22772,"Sandeepan","McClurg","Senior Staff","1995-04-17","9999-01-01"
22783,"Takahiro","Beerel","Senior Staff","1991-02-06","9999-01-01"
22812,"Weiru","Kemmerer","Senior Staff","1990-06-29","9999-01-01"
22838,"Brendon","Markovitch","Senior Engineer","1985-06-06","9999-01-01"
22854,"Trygve","Koblitz","Senior Staff","1993-02-27","9999-01-01"
22886,"Gudjon","Templeman","Senior Engineer","1999-05-04","9999-01-01"
22894,"Muzhong","Casley","Senior Staff","1985-02-17","9999-01-01"
22904,"Irene","Azulay","Engineer","1995-03-12","9999-01-01"
22923,"Kristof","Laventhal","Senior Engineer","1993-11-06","9999-01-01"
22924,"Ziyad","Leslie","Technique Leader","1995-02-11","9999-01-01"
22928,"Sanjeeva","Angot","Senior Engineer","1988-04-01","9999-01-01"
